n_user: 974, n_item: 1015
metapath: UB, epoch 2900: loss = 770.982544, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2950: loss = 917.970276, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3000: loss = 1061.500732, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3050: loss = 1196.291382, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3100: loss = 1317.440308, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3150: loss = 1420.570679, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3200: loss = 1501.970093, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3250: loss = 1558.712280, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3300: loss = 1588.756226, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3350: loss = 1591.014160, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3400: loss = 1565.390747, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3450: loss = 1512.786621, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3500: loss = 1435.067749, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3550: loss = 1335.003784, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3600: loss = 1216.174683, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3650: loss = 1082.854126, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3700: loss = 939.872803, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3750: loss = 792.474182, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3800: loss = 646.180054, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3850: loss = 506.696228, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3900: loss = 379.924255, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 3950: loss = 272.196075, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4000: loss = 190.713821, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4050: loss = 142.309540, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4100: loss = 124.850899, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4150: loss = 122.475677, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4200: loss = 123.808159, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
